Ticker,Date,Open,High,Low,Close,Adj Close,Volume
DOCU,8/10/2022,73.919998,75.800003,73.089996,75.389999,75.389999,3217800
DOCU,8/11/2022,77.150002,77.190002,71.870003,72.339996,72.339996,3026700
DOCU,8/12/2022,73.440002,74.769997,71.400002,74.339996,74.339996,3355300
DOCU,8/15/2022,74.150002,76.260002,73.599998,75.849998,75.849998,2428900
DOCU,8/16/2022,75,75.809998,72.25,73.769997,73.769997,2994100
DOCU,8/17/2022,72.099998,72.417,69.07,69.589996,69.589996,2781300
DOCU,8/18/2022,69.910004,70.099998,68.690002,69.75,69.75,2027900
DOCU,8/19/2022,67.720001,68.190002,65.75,65.919998,65.919998,2756200
DOCU,8/22/2022,63.200001,64.669998,62.615002,63.060001,63.060001,3252000
DOCU,8/23/2022,62.810001,63.5,60.779999,61.040001,61.040001,4615600
DOCU,8/24/2022,61.25,62.400002,60.57,60.950001,60.950001,3395700
DOCU,8/25/2022,61.490002,62.740002,60.279999,61.939999,61.939999,2685800
DOCU,8/26/2022,61.279999,61.48,57.419998,58.02,58.02,4519500
DOCU,8/29/2022,57.720001,60.139999,57.240002,58,58,2816600
DOCU,8/30/2022,58.439999,59.433998,56.919998,58.57,58.57,2942900
DOCU,8/31/2022,59.549999,60.240002,57.669998,58.220001,58.220001,2667200
DOCU,9/1/2022,57.18,57.389999,53.700001,55.700001,55.700001,4224500
DOCU,9/2/2022,56.66,57.040001,53.990002,54.450001,54.450001,3090400
DOCU,9/6/2022,54.639999,55.209999,53.25,53.799999,53.799999,4603000
DOCU,9/7/2022,53.799999,55.450001,53.25,55.139999,55.139999,4890700
DOCU,9/8/2022,54.099998,58.009998,53.369999,57.950001,57.950001,10469100
DOCU,9/9/2022,65.809998,66.374001,61.75,64.040001,64.040001,34919600
DOCU,9/12/2022,64.610001,67.349998,64.260002,65.660004,65.660004,10186900
DOCU,9/13/2022,62.5,63.290001,60.779999,60.93,60.93,6616200
DOCU,9/14/2022,60.650002,61.310001,59.740002,60.549999,60.549999,4098700
DOCU,9/15/2022,59.57,62.75,59,60.279999,60.279999,5922500
DOCU,9/16/2022,58.5,58.93,55.610001,56.580002,56.580002,6918500
DOCU,9/19/2022,56.014999,57.330002,55.5,56.48,56.48,4592800
DOCU,9/20/2022,55.549999,56.91,55.014999,55.540001,55.540001,3358600
DOCU,9/21/2022,55.740002,57.668999,54.549999,54.599998,54.599998,3746400
DOCU,9/22/2022,53.560001,54.650002,52.529999,54,54,5433400
DOCU,9/23/2022,53.720001,54.490002,51.119999,52.389999,52.389999,6805100
DOCU,9/26/2022,52.75,54.599998,51.619999,51.669998,51.669998,3619100
DOCU,9/27/2022,52.860001,54.099998,52.009998,52.630001,52.630001,3718500
DOCU,9/28/2022,53.400002,55.66,53.400002,55.310001,55.310001,4991500
DOCU,9/29/2022,53.619999,55.459999,53.580002,55.200001,55.200001,3993600
DOCU,9/30/2022,55.48,56.630001,53.34,53.470001,53.470001,4579900
DOCU,10/3/2022,51.369999,53.645,51.290001,52.93,52.93,6321800
DOCU,10/4/2022,54.689999,56.625,54.637001,55.880001,55.880001,5022600
DOCU,10/5/2022,54.43,54.57,51.91,53.889999,53.889999,4277900
DOCU,10/6/2022,53.799999,54.540001,51.509998,51.57,51.57,5664000
DOCU,10/7/2022,50.080002,50.330002,47.700001,47.830002,47.830002,6643800
DOCU,10/10/2022,48.009998,48.200001,45.669998,46.27,46.27,5469500
DOCU,10/11/2022,46.110001,46.384998,44.200001,44.540001,44.540001,4077500
DOCU,10/12/2022,44.93,45.710999,43.349998,45.349998,45.349998,5807700
DOCU,10/13/2022,42.869999,46.98,42.130001,46.200001,46.200001,5309600
DOCU,10/14/2022,47.145,47.470001,43.950001,44,44,3368600
DOCU,10/17/2022,46.040001,47.599998,45.459999,46.16,46.16,4876300
DOCU,10/18/2022,48.439999,49.41,46.904999,48.490002,48.490002,7559300
DOCU,10/19/2022,47.880001,48.27,46.039001,46.549999,46.549999,3496100
DOCU,10/20/2022,46.77,47.950001,46.049999,46.66,46.66,4157400
DOCU,10/21/2022,46.029999,48.009998,44.799999,47.810001,47.810001,4236100
DOCU,10/24/2022,48.009998,48.509998,46.029999,48.470001,48.470001,3932200
DOCU,10/25/2022,49.060001,50.619999,49.060001,50.23,50.23,4135700
DOCU,10/26/2022,48.950001,51.099998,48.458,48.990002,48.990002,4865400
DOCU,10/27/2022,49.57,50.549999,48.02,48.240002,48.240002,2699400
DOCU,10/28/2022,48.09,48.799999,47,48.73,48.73,2906800
DOCU,10/31/2022,48.189999,49.040001,47.630001,48.299999,48.299999,2414000
DOCU,11/1/2022,49.73,50.25,47.529999,47.889999,47.889999,3593500
DOCU,11/2/2022,47.799999,47.810001,43.150002,43.16,43.16,5023000
DOCU,11/3/2022,42.830002,44.105,42.209999,42.43,42.43,3750100
DOCU,11/4/2022,43,43.369999,39.630001,40.860001,40.860001,6499700
DOCU,11/7/2022,41.18,42.764999,40.150002,42.509998,42.509998,4789300
DOCU,11/8/2022,42.91,43.18,40.560001,41.200001,41.200001,5691200
DOCU,11/9/2022,40.5,40.645,39.57,39.799999,39.799999,4452600
DOCU,11/10/2022,42.82,45.560001,42.814999,45.5,45.5,5793900
DOCU,11/11/2022,46.029999,53.049999,45.470001,53,53,10930900
DOCU,11/14/2022,52.32,53.310001,51.400002,51.549999,51.549999,5823800
